Date,SalesRepID,SalesRep,SalesRepPhone,SalesRepBranch,SalesRepEmail,ProductID,Product,CustomerID,Customer,CustomerRegion,Units,UnitPrice,TotalRevenue
05/01/2019,EM010,Jenny Nwankwo,44123456790,Bristol,jenny.nwankwo@groceryplace.com,PR006,Milk,C007,Art House Publications,MEA,1,21.95,21.95
05/01/2019,EM002,Natasha Whyte,44123456782,Bristol,natasha.whyte@groceryplace.com,PR002,Semolina,C001,White Rock Ltd,MEA,19,613.7,11660.3
05/01/2019,EM006,Pauline Nduka,44123456786,New Hampshire,pauline.nduka@groceryplace.com,PR008,Power Oil,C002,Sterling Homes Pty,United States,3,75,225
05/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR005,Milo,C003,Holmes View Plc,Europe,2,155.9,311.8
05/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR002,Semolina,C004,Nested Shelters,Europe,1,33,33
05/01/2019,EM008,Isabel Wright,44123456788,London,isabel.wright@groceryplace.com,PR002,Semolina,C005,Prime Waters Ltd,United States,2,66,132
05/01/2019,EM009,Betty Champ,44123456789,London,betty.champ@groceryplace.com,PR010,Noodles,C006,Jameson & Sons,Australia,3,70.5,211.5
06/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR010,Noodles,C007,Art House Publications,MEA,2,47,94
06/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR002,Semolina,C008,Bunkmates LLC,Australia,1,34,34
07/01/2019,EM012,Roger Stone,44123456792,London,roger.stone@groceryplace.com,PR008,Power Oil,C004,Nested Shelters,Europe,2,48,96
07/01/2019,EM006,Pauline Nduka,44123456786,New Hampshire,pauline.nduka@groceryplace.com,PR009,Spaghetti,C005,Prime Waters Ltd,United States,1,21,21
07/01/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR008,Power Oil,C001,White Rock Ltd,MEA,2,50,100
07/01/2019,EM008,Isabel Wright,44123456788,London,isabel.wright@groceryplace.com,PR010,Noodles,C002,Sterling Homes Pty,United States,2,47,94
07/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR007,Five Alive,C003,Holmes View Plc,Europe,1,22.95,22.95
07/01/2019,EM012,Roger Stone,44123456792,London,roger.stone@groceryplace.com,PR003,Wheat,C004,Nested Shelters,Europe,3,72,216
07/01/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR004,Corn Flakes,C005,Prime Waters Ltd,United States,1,30,30
08/01/2019,EM002,Natasha Whyte,44123456782,Bristol,natasha.whyte@groceryplace.com,PR002,Semolina,C006,Jameson & Sons,Australia,3,96,288
08/01/2019,EM009,Betty Champ,44123456789,London,betty.champ@groceryplace.com,PR002,Semolina,C007,Art House Publications,MEA,2,64,128
08/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR001,Rice,C001,White Rock Ltd,MEA,3,56.85,170.55
08/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR006,Milk,C002,Sterling Homes Pty,United States,21,457.8,9613.8
09/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR008,Power Oil,C003,Holmes View Plc,Europe,3,72,216
09/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR001,Rice,C004,Nested Shelters,Europe,2,39.9,79.8
09/01/2019,EM004,Sylvester Chan,44123456784,Manchester,sylvester.chan@groceryplace.com,PR001,Rice,C005,Prime Waters Ltd,United States,3,59.85,179.55
09/01/2019,EM009,Betty Champ,44123456789,London,betty.champ@groceryplace.com,PR003,Wheat,C006,Jameson & Sons,Australia,2,48,96
10/01/2019,EM010,Jenny Nwankwo,44123456790,Bristol,jenny.nwankwo@groceryplace.com,PR005,Milo,C007,Art House Publications,MEA,1,79.95,79.95
10/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR005,Milo,C008,Bunkmates LLC,Australia,2,159.9,319.8
10/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR011,Biscuits,C004,Nested Shelters,Europe,3,82.5,247.5
10/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR002,Semolina,C005,Prime Waters Ltd,United States,1,33,33
11/01/2019,EM002,Natasha Whyte,44123456782,Bristol,natasha.whyte@groceryplace.com,PR006,Milk,C001,White Rock Ltd,MEA,1,22.95,22.95
11/01/2019,EM012,Roger Stone,44123456792,London,roger.stone@groceryplace.com,PR011,Biscuits,C002,Sterling Homes Pty,United States,19,496.47,9432.93
11/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR003,Wheat,C003,Holmes View Plc,Europe,2,50,100
11/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR006,Milk,C004,Nested Shelters,Europe,1,22.95,22.95
11/01/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR001,Rice,C005,Prime Waters Ltd,United States,2,39.9,79.8
11/01/2019,EM008,Isabel Wright,44123456788,London,isabel.wright@groceryplace.com,PR004,Corn Flakes,C006,Jameson & Sons,Australia,2,56,112
11/01/2019,EM009,Betty Champ,44123456789,London,betty.champ@groceryplace.com,PR011,Biscuits,C007,Art House Publications,MEA,2,55,110
11/01/2019,EM013,Collins Abrahams,44123456793,London,collins.abrahams@groceryplace.com,PR011,Biscuits,C001,White Rock Ltd,MEA,3,82.5,247.5
11/01/2019,EM013,Collins Abrahams,44123456793,London,collins.abrahams@groceryplace.com,PR005,Milo,C002,Sterling Homes Pty,United States,1,79.95,79.95
12/01/2019,EM002,Natasha Whyte,44123456782,Bristol,natasha.whyte@groceryplace.com,PR010,Noodles,C003,Holmes View Plc,Europe,2,45,90
12/01/2019,EM002,Natasha Whyte,44123456782,Bristol,natasha.whyte@groceryplace.com,PR007,Five Alive,C004,Nested Shelters,Europe,1,22.95,22.95
12/01/2019,EM002,Natasha Whyte,44123456782,Bristol,natasha.whyte@groceryplace.com,PR009,Spaghetti,C005,Prime Waters Ltd,United States,1,20,20
12/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR008,Power Oil,C006,Jameson & Sons,Australia,3,72,216
12/01/2019,EM005,Francis Stallone,44123456785,Manchester,francis.stallone@groceryplace.com,PR012,Onga,C007,Art House Publications,MEA,1,18,18
12/01/2019,EM013,Collins Abrahams,44123456793,London,collins.abrahams@groceryplace.com,PR002,Semolina,C008,Bunkmates LLC,Australia,2,68,136
13/01/2019,EM014,Adrian Codley,44123456794,Lancaster,adrian.codley@groceryplace.com,PR006,Milk,C004,Nested Shelters,Europe,2,45.9,91.8
13/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR008,Power Oil,C005,Prime Waters Ltd,United States,4,96,384
13/01/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR001,Rice,C001,White Rock Ltd,MEA,3,56.85,170.55
13/01/2019,EM005,Francis Stallone,44123456785,Manchester,francis.stallone@groceryplace.com,PR003,Wheat,C001,White Rock Ltd,MEA,2,48,96
14/01/2019,EM009,Betty Champ,44123456789,London,betty.champ@groceryplace.com,PR006,Milk,C002,Sterling Homes Pty,United States,4,91.8,367.2
14/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR009,Spaghetti,C003,Holmes View Plc,Europe,2,40,80
14/01/2019,EM008,Isabel Wright,44123456788,London,isabel.wright@groceryplace.com,PR006,Milk,C004,Nested Shelters,Europe,15,327,4905
14/01/2019,EM015,Sylva Timotheus,44123456795,Lancaster,sylva.timotheus@groceryplace.com,PR006,Milk,C005,Prime Waters Ltd,United States,2,45.9,91.8
14/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR007,Five Alive,C006,Jameson & Sons,Australia,1,22.95,22.95
15/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR002,Semolina,C007,Art House Publications,MEA,2,66,132
15/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR003,Wheat,C008,Bunkmates LLC,Australia,3,72,216
15/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR002,Semolina,C004,Nested Shelters,Europe,1,33,33
15/01/2019,EM010,Jenny Nwankwo,44123456790,Bristol,jenny.nwankwo@groceryplace.com,PR008,Power Oil,C005,Prime Waters Ltd,United States,3,72,216
15/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR009,Spaghetti,C001,White Rock Ltd,MEA,1,20,20
15/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR006,Milk,C002,Sterling Homes Pty,United States,2,45.9,91.8
16/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR008,Power Oil,C003,Holmes View Plc,Europe,2,48,96
16/01/2019,EM002,Natasha Whyte,44123456782,Bristol,natasha.whyte@groceryplace.com,PR010,Noodles,C004,Nested Shelters,Europe,2,47,94
16/01/2019,EM014,Adrian Codley,44123456794,Lancaster,adrian.codley@groceryplace.com,PR007,Five Alive,C005,Prime Waters Ltd,United States,3,68.85,206.55
16/01/2019,EM008,Isabel Wright,44123456788,London,isabel.wright@groceryplace.com,PR002,Semolina,C006,Jameson & Sons,Australia,2,64,128
17/01/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR003,Wheat,C007,Art House Publications,MEA,2,50,100
17/01/2019,EM004,Sylvester Chan,44123456784,Manchester,sylvester.chan@groceryplace.com,PR008,Power Oil,C001,White Rock Ltd,MEA,3,75,225
17/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR001,Rice,C002,Sterling Homes Pty,United States,2,39.9,79.8
17/01/2019,EM008,Isabel Wright,44123456788,London,isabel.wright@groceryplace.com,PR011,Biscuits,C003,Holmes View Plc,Europe,1,26.5,26.5
17/01/2019,EM015,Sylva Timotheus,44123456795,Lancaster,sylva.timotheus@groceryplace.com,PR001,Rice,C004,Nested Shelters,Europe,1,19.95,19.95
17/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR007,Five Alive,C005,Prime Waters Ltd,United States,1,22.95,22.95
17/01/2019,EM006,Pauline Nduka,44123456786,New Hampshire,pauline.nduka@groceryplace.com,PR002,Semolina,C006,Jameson & Sons,Australia,2,68,136
17/01/2019,EM010,Jenny Nwankwo,44123456790,Bristol,jenny.nwankwo@groceryplace.com,PR012,Onga,C007,Art House Publications,MEA,3,54,162
18/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR009,Spaghetti,C008,Bunkmates LLC,Australia,3,60,180
18/01/2019,EM010,Jenny Nwankwo,44123456790,Bristol,jenny.nwankwo@groceryplace.com,PR003,Wheat,C004,Nested Shelters,Europe,2,48,96
18/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR006,Milk,C005,Prime Waters Ltd,United States,3,68.85,206.55
18/01/2019,EM009,Betty Champ,44123456789,London,betty.champ@groceryplace.com,PR002,Semolina,C001,White Rock Ltd,MEA,3,96,288
19/01/2019,EM009,Betty Champ,44123456789,London,betty.champ@groceryplace.com,PR004,Corn Flakes,C001,White Rock Ltd,MEA,3,87,261
19/01/2019,EM012,Roger Stone,44123456792,London,roger.stone@groceryplace.com,PR007,Five Alive,C002,Sterling Homes Pty,United States,3,68.85,206.55
20/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR001,Rice,C003,Holmes View Plc,Europe,1,19.95,19.95
20/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR008,Power Oil,C004,Nested Shelters,Europe,3,75,225
20/01/2019,EM010,Jenny Nwankwo,44123456790,Bristol,jenny.nwankwo@groceryplace.com,PR004,Corn Flakes,C005,Prime Waters Ltd,United States,21,578.55,12149.55
20/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR002,Semolina,C006,Jameson & Sons,Australia,2,66,132
20/01/2019,EM009,Betty Champ,44123456789,London,betty.champ@groceryplace.com,PR002,Semolina,C007,Art House Publications,MEA,3,99,297
20/01/2019,EM002,Natasha Whyte,44123456782,Bristol,natasha.whyte@groceryplace.com,PR009,Spaghetti,C008,Bunkmates LLC,Australia,12,228,2736
21/01/2019,EM010,Jenny Nwankwo,44123456790,Bristol,jenny.nwankwo@groceryplace.com,PR002,Semolina,C004,Nested Shelters,Europe,3,99,297
21/01/2019,EM002,Natasha Whyte,44123456782,Bristol,natasha.whyte@groceryplace.com,PR007,Five Alive,C005,Prime Waters Ltd,United States,2,45.9,91.8
21/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR007,Five Alive,C001,White Rock Ltd,MEA,2,45.9,91.8
21/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR002,Semolina,C002,Sterling Homes Pty,United States,3,99,297
21/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR001,Rice,C003,Holmes View Plc,Europe,1,19.95,19.95
21/01/2019,EM013,Collins Abrahams,44123456793,London,collins.abrahams@groceryplace.com,PR001,Rice,C004,Nested Shelters,Europe,3,59.85,179.55
21/01/2019,EM014,Adrian Codley,44123456794,Lancaster,adrian.codley@groceryplace.com,PR007,Five Alive,C005,Prime Waters Ltd,United States,2,45.9,91.8
21/01/2019,EM006,Pauline Nduka,44123456786,New Hampshire,pauline.nduka@groceryplace.com,PR003,Wheat,C006,Jameson & Sons,Australia,1,25,25
22/01/2019,EM010,Jenny Nwankwo,44123456790,Bristol,jenny.nwankwo@groceryplace.com,PR001,Rice,C007,Art House Publications,MEA,22,416.9,9171.8
22/01/2019,EM012,Roger Stone,44123456792,London,roger.stone@groceryplace.com,PR003,Wheat,C001,White Rock Ltd,MEA,2,50,100
22/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR006,Milk,C002,Sterling Homes Pty,United States,1,22.95,22.95
22/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR004,Corn Flakes,C003,Holmes View Plc,Europe,19,523.45,9945.55
22/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR008,Power Oil,C004,Nested Shelters,Europe,1,24,24
22/01/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR002,Semolina,C005,Prime Waters Ltd,United States,2,64,128
23/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR008,Power Oil,C006,Jameson & Sons,Australia,2,46,92
23/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR003,Wheat,C007,Art House Publications,MEA,2,48,96
23/01/2019,EM012,Roger Stone,44123456792,London,roger.stone@groceryplace.com,PR009,Spaghetti,C008,Bunkmates LLC,Australia,23,458.85,10553.55
23/01/2019,EM015,Sylva Timotheus,44123456795,Lancaster,sylva.timotheus@groceryplace.com,PR001,Rice,C004,Nested Shelters,Europe,3,59.85,179.55
23/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR005,Milo,C005,Prime Waters Ltd,United States,2,151.9,303.8
24/01/2019,EM010,Jenny Nwankwo,44123456790,Bristol,jenny.nwankwo@groceryplace.com,PR004,Corn Flakes,C001,White Rock Ltd,MEA,2,58,116
24/01/2019,EM002,Natasha Whyte,44123456782,Bristol,natasha.whyte@groceryplace.com,PR010,Noodles,C001,White Rock Ltd,MEA,11,235.18,2586.98
24/01/2019,EM006,Pauline Nduka,44123456786,New Hampshire,pauline.nduka@groceryplace.com,PR001,Rice,C002,Sterling Homes Pty,United States,3,59.85,179.55
25/01/2019,EM009,Betty Champ,44123456789,London,betty.champ@groceryplace.com,PR008,Power Oil,C003,Holmes View Plc,Europe,2,48,96
25/01/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR006,Milk,C004,Nested Shelters,Europe,1,22.95,22.95
25/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR007,Five Alive,C005,Prime Waters Ltd,United States,3,68.85,206.55
25/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR003,Wheat,C006,Jameson & Sons,Australia,2,48,96
26/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR008,Power Oil,C007,Art House Publications,MEA,2,48,96
26/01/2019,EM010,Jenny Nwankwo,44123456790,Bristol,jenny.nwankwo@groceryplace.com,PR007,Five Alive,C008,Bunkmates LLC,Australia,2,45.9,91.8
26/01/2019,EM015,Sylva Timotheus,44123456795,Lancaster,sylva.timotheus@groceryplace.com,PR007,Five Alive,C004,Nested Shelters,Europe,1,22.95,22.95
26/01/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR002,Semolina,C005,Prime Waters Ltd,United States,7,231,1617
26/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR009,Spaghetti,C001,White Rock Ltd,MEA,1,20,20
26/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR006,Milk,C002,Sterling Homes Pty,United States,20,436,8720
27/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR002,Semolina,C003,Holmes View Plc,Europe,20,608,12160
27/01/2019,EM012,Roger Stone,44123456792,London,roger.stone@groceryplace.com,PR006,Milk,C004,Nested Shelters,Europe,2,45.9,91.8
27/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR007,Five Alive,C005,Prime Waters Ltd,United States,1,22.95,22.95
27/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR001,Rice,C006,Jameson & Sons,Australia,1,18.95,18.95
28/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR001,Rice,C007,Art House Publications,MEA,2,39.9,79.8
28/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR007,Five Alive,C001,White Rock Ltd,MEA,1,22.95,22.95
28/01/2019,EM002,Natasha Whyte,44123456782,Bristol,natasha.whyte@groceryplace.com,PR001,Rice,C002,Sterling Homes Pty,United States,3,59.85,179.55
29/01/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR008,Power Oil,C003,Holmes View Plc,Europe,1,24,24
29/01/2019,EM010,Jenny Nwankwo,44123456790,Bristol,jenny.nwankwo@groceryplace.com,PR008,Power Oil,C004,Nested Shelters,Europe,2,48,96
29/01/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR008,Power Oil,C005,Prime Waters Ltd,United States,22,501.6,11035.2
30/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR002,Semolina,C006,Jameson & Sons,Australia,3,99,297
30/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR007,Five Alive,C007,Art House Publications,MEA,1,22.95,22.95
30/01/2019,EM008,Isabel Wright,44123456788,London,isabel.wright@groceryplace.com,PR002,Semolina,C008,Bunkmates LLC,Australia,3,99,297
31/01/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR002,Semolina,C004,Nested Shelters,Europe,3,96,288
31/01/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR008,Power Oil,C005,Prime Waters Ltd,United States,2,48,96
31/01/2019,EM009,Betty Champ,44123456789,London,betty.champ@groceryplace.com,PR007,Five Alive,C001,White Rock Ltd,MEA,2,45.9,91.8
31/01/2019,EM002,Natasha Whyte,44123456782,Bristol,natasha.whyte@groceryplace.com,PR007,Five Alive,C001,White Rock Ltd,MEA,2,45.9,91.8
31/01/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR006,Milk,C002,Sterling Homes Pty,United States,1,21.95,21.95
31/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR002,Semolina,C003,Holmes View Plc,Europe,3,102,306
01/02/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR008,Power Oil,C004,Nested Shelters,Europe,1,24,24
01/02/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR003,Wheat,C005,Prime Waters Ltd,United States,2,50,100
01/02/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR001,Rice,C006,Jameson & Sons,Australia,3,59.85,179.55
01/02/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR012,Onga,C007,Art House Publications,MEA,3,57,171
01/02/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR002,Semolina,C008,Bunkmates LLC,Australia,1,33,33
01/02/2019,EM004,Sylvester Chan,44123456784,Manchester,sylvester.chan@groceryplace.com,PR008,Power Oil,C004,Nested Shelters,Europe,1,25,25
01/02/2019,EM012,Roger Stone,44123456792,London,roger.stone@groceryplace.com,PR007,Five Alive,C005,Prime Waters Ltd,United States,2,45.9,91.8
02/02/2019,EM013,Collins Abrahams,44123456793,London,collins.abrahams@groceryplace.com,PR002,Semolina,C001,White Rock Ltd,MEA,1,34,34
02/02/2019,EM009,Betty Champ,44123456789,London,betty.champ@groceryplace.com,PR007,Five Alive,C002,Sterling Homes Pty,United States,3,68.85,206.55
03/02/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR008,Power Oil,C003,Holmes View Plc,Europe,1,25,25
03/02/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR009,Spaghetti,C004,Nested Shelters,Europe,2,42,84
03/02/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR004,Corn Flakes,C005,Prime Waters Ltd,United States,1,30,30
03/02/2019,EM012,Roger Stone,44123456792,London,roger.stone@groceryplace.com,PR006,Milk,C006,Jameson & Sons,Australia,1,22.95,22.95
04/02/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR001,Rice,C007,Art House Publications,MEA,3,59.85,179.55
04/02/2019,EM010,Jenny Nwankwo,44123456790,Bristol,jenny.nwankwo@groceryplace.com,PR010,Noodles,C001,White Rock Ltd,MEA,2,47,94
04/02/2019,EM004,Sylvester Chan,44123456784,Manchester,sylvester.chan@groceryplace.com,PR012,Onga,C002,Sterling Homes Pty,United States,1,19,19
05/02/2019,EM009,Betty Champ,44123456789,London,betty.champ@groceryplace.com,PR001,Rice,C003,Holmes View Plc,Europe,3,56.85,170.55
05/02/2019,EM006,Pauline Nduka,44123456786,New Hampshire,pauline.nduka@groceryplace.com,PR009,Spaghetti,C004,Nested Shelters,Europe,2,42,84
05/02/2019,EM010,Jenny Nwankwo,44123456790,Bristol,jenny.nwankwo@groceryplace.com,PR011,Biscuits,C005,Prime Waters Ltd,United States,2,55,110
06/02/2019,EM010,Jenny Nwankwo,44123456790,Bristol,jenny.nwankwo@groceryplace.com,PR002,Semolina,C006,Jameson & Sons,Australia,3,99,297
06/02/2019,EM008,Isabel Wright,44123456788,London,isabel.wright@groceryplace.com,PR005,Milo,C007,Art House Publications,MEA,2,159.9,319.8
06/02/2019,EM006,Pauline Nduka,44123456786,New Hampshire,pauline.nduka@groceryplace.com,PR002,Semolina,C008,Bunkmates LLC,Australia,1,34,34
06/02/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR010,Noodles,C004,Nested Shelters,Europe,3,70.5,211.5
06/02/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR010,Noodles,C005,Prime Waters Ltd,United States,1,23.5,23.5
06/02/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR009,Spaghetti,C001,White Rock Ltd,MEA,1,19,19
06/02/2019,EM011,Ken Momodu,44123456791,Bristol,ken.momodu@groceryplace.com,PR009,Spaghetti,C001,White Rock Ltd,MEA,3,63,189
06/02/2019,EM006,Pauline Nduka,44123456786,New Hampshire,pauline.nduka@groceryplace.com,PR006,Milk,C002,Sterling Homes Pty,United States,1,22.95,22.95
07/02/2019,EM002,Natasha Whyte,44123456782,Bristol,natasha.whyte@groceryplace.com,PR007,Five Alive,C003,Holmes View Plc,Europe,1,22.95,22.95
07/02/2019,EM002,Natasha Whyte,44123456782,Bristol,natasha.whyte@groceryplace.com,PR002,Semolina,C004,Nested Shelters,Europe,1,32,32
